,Date,TD1,TD1New
664,2018-04-23,,188.66326530612244
665,2018-04-24,,188.6326530612245
666,2018-04-25,,188.60204081632654
667,2018-04-26,,188.57142857142858
668,2018-04-27,,188.5408163265306
669,2018-04-28,,188.51020408163265
670,2018-04-29,,188.4795918367347
671,2018-04-30,,188.44897959183675
672,2018-05-01,,188.41836734693877
673,2018-05-02,,188.3877551020408
674,2018-05-03,,188.35714285714286
675,2018-05-04,,188.3265306122449
676,2018-05-05,,188.29591836734693
677,2018-05-06,,188.26530612244898
678,2018-05-07,,188.23469387755102
679,2018-05-08,,188.20408163265307
680,2018-05-09,,188.1734693877551
681,2018-05-10,,188.14285714285714
682,2018-05-11,,188.1122448979592
683,2018-05-12,,188.08163265306123
684,2018-05-13,,188.05102040816325
685,2018-05-14,,188.0204081632653
686,2018-05-15,,187.98979591836735
687,2018-05-16,,187.9591836734694
688,2018-05-17,,187.92857142857142
689,2018-05-18,,187.89795918367346
690,2018-05-19,,187.8673469387755
691,2018-05-20,,187.83673469387756
692,2018-05-21,,187.80612244897958
693,2018-05-22,,187.77551020408163
694,2018-05-23,,187.74489795918367
695,2018-05-24,,187.71428571428572
696,2018-05-25,,187.68367346938774
697,2018-05-26,,187.6530612244898
698,2018-05-27,,187.62244897959184
699,2018-05-28,,187.59183673469389
700,2018-05-29,,187.5612244897959
701,2018-05-30,,187.53061224489795
702,2018-05-31,,187.5
703,2018-06-01,,187.46938775510205
704,2018-06-02,,187.4387755102041
705,2018-06-03,,187.40816326530611
706,2018-06-04,,187.37755102040816
707,2018-06-05,,187.3469387755102
708,2018-06-06,,187.31632653061226
709,2018-06-07,,187.28571428571428
710,2018-06-08,,187.25510204081633
711,2018-06-09,,187.22448979591837
712,2018-06-10,,187.19387755102042
713,2018-06-11,,187.16326530612244
714,2018-06-12,,187.1326530612245
715,2018-06-13,,187.10204081632654
716,2018-06-14,,187.07142857142858
717,2018-06-15,,187.0408163265306
718,2018-06-16,,187.01020408163265
719,2018-06-17,,186.9795918367347
720,2018-06-18,,186.94897959183675
721,2018-06-19,,186.91836734693877
722,2018-06-20,,186.8877551020408
723,2018-06-21,,186.85714285714286
724,2018-06-22,,186.8265306122449
725,2018-06-23,,186.79591836734693
726,2018-06-24,,186.76530612244898
727,2018-06-25,,186.73469387755102
728,2018-06-26,,186.70408163265307
729,2018-06-27,,186.6734693877551
730,2018-06-28,,186.64285714285714
731,2018-06-29,,186.6122448979592
732,2018-06-30,,186.58163265306123
733,2018-07-01,,186.55102040816325
734,2018-07-02,,186.5204081632653
735,2018-07-03,,186.48979591836735
736,2018-07-04,,186.4591836734694
737,2018-07-05,,186.42857142857142
738,2018-07-06,,186.39795918367346
739,2018-07-07,,186.3673469387755
740,2018-07-08,,186.33673469387756
741,2018-07-09,,186.30612244897958
742,2018-07-10,,186.27551020408163
743,2018-07-11,,186.24489795918367
744,2018-07-12,,186.21428571428572
745,2018-07-13,,186.18367346938774
746,2018-07-14,,186.1530612244898
747,2018-07-15,,186.12244897959184
748,2018-07-16,,186.09183673469389
749,2018-07-17,,186.0612244897959
750,2018-07-18,,186.03061224489795
751,2018-07-19,186.0,186.0
752,2018-07-20,,186.21428571428572
753,2018-07-21,,186.42857142857142
754,2018-07-22,,186.64285714285714
755,2018-07-23,,186.85714285714286
756,2018-07-24,,187.07142857142858
757,2018-07-25,,187.28571428571428
758,2018-07-26,,187.5
759,2018-07-27,,187.71428571428572
760,2018-07-28,,187.92857142857142
761,2018-07-29,,188.14285714285714
762,2018-07-30,,188.35714285714286
763,2018-07-31,,188.57142857142858
764,2018-08-01,,188.78571428571428
765,2018-08-02,189.0,189.0
766,2018-08-03,,189.02564102564102
767,2018-08-04,,189.05128205128204
768,2018-08-05,,189.07692307692307
769,2018-08-06,,189.10256410256412
770,2018-08-07,,189.12820512820514
771,2018-08-08,,189.15384615384616
772,2018-08-09,,189.17948717948718
773,2018-08-10,,189.2051282051282
774,2018-08-11,,189.23076923076923
775,2018-08-12,,189.25641025641025
776,2018-08-13,,189.28205128205127
777,2018-08-14,,189.30769230769232
778,2018-08-15,,189.33333333333334
779,2018-08-16,,189.35897435897436
780,2018-08-17,,189.3846153846154
781,2018-08-18,,189.4102564102564
782,2018-08-19,,189.43589743589743
783,2018-08-20,,189.46153846153845
784,2018-08-21,,189.48717948717947
785,2018-08-22,,189.51282051282053
786,2018-08-23,,189.53846153846155
787,2018-08-24,,189.56410256410257
788,2018-08-25,,189.5897435897436
789,2018-08-26,,189.6153846153846
790,2018-08-27,,189.64102564102564
791,2018-08-28,,189.66666666666666
792,2018-08-29,,189.69230769230768
793,2018-08-30,,189.71794871794873
794,2018-08-31,,189.74358974358975
795,2018-09-01,,189.76923076923077
796,2018-09-02,,189.7948717948718
797,2018-09-03,,189.82051282051282
798,2018-09-04,,189.84615384615384
799,2018-09-05,,189.87179487179486
800,2018-09-06,,189.89743589743588
801,2018-09-07,,189.92307692307693
802,2018-09-08,,189.94871794871796
803,2018-09-09,,189.97435897435898
804,2018-09-10,190.0,190.0
805,2018-09-11,,189.5
806,2018-09-12,,189.0
807,2018-09-13,,188.5
